content,score,cleaned_content,sentiment
belum paham. semoga lancar,5,paham moga lancar,positif
susah dapat kurir main cancel aja,1,susah kurir main cancel aja,netral
ga bisa COD,1,cod,netral
di pake buat jual lewat tiktok potongannya gak ngotak. saya jual ban bekas per ban di potong 40000 hello emang jualan punya bapak elo. gua beli ban pake modal loh elo ambil segitu banyak gua dapet apa kecewa,1,pake jual tiktok potong ngotak jual ban bekas ban potong hello emang jual elo gua beli ban pake modal loh elo ambil segitu gua dapet kecewa,negatif
mantap,5,mantap,positif
"jangan pernah pakai apk ini guys , komplain 3 hari , di eksekusi juga 3 hari",1,pakai apk guys komplain eksekusi,positif
ok,5,oke,positif
kayanya di sini gak ada pembayaran cod tagihan juga beda2 dari cekout sampai bayar. jadi ragu belanja di sini. gak jujur.,2,kaya bayar cod tagih beda cekout bayar ragu belanja jujur,negatif
bagus,5,bagus,netral
good jobs,5,good jobs,positif
aplikasih yang sangat penting,5,aplikasih,netral
"saran aja , untuk kerjasama dengan expedisi JNE mending di hapus aja karena pengirimannya lelet mending J&T lebih cepat saya biasa beli barang online dari aplikasi shopee atau tiktok dengan menggunakan expedisi dari shopee atau J&T itu 2 hari sudah sampai pengiriman dari jabodetabek paling lama 3 hari ini saya belanja pakai aplikasi tokopedia tidak bisa pilih expedisi dan akhirnya dapat expedisi JNE lama banget mau 5 hari belum sampai, sedangkan tiktok aja sudah 2X paket saya sudah sampai",1,saran aja kerjasama expedisi jne mending hapus aja kirim lelet mending jt cepat beli barang online aplikasi shopee tiktok expedisi shopee jt kirim jabodetabek belanja pakai aplikasi tokopedia pilih expedisi expedisi jne banget tiktok aja x paket,positif
good,5,good,positif
ok,5,oke,positif
ngasih ongkir ngotak dikit lah masah sampe 200 RB sedangkan pesanan saya 13 RB,1,ngasih ongkir ngotak dikit masah sampe rb pesan rb,negatif
ekspedisi nya lambat,2,ekspedisi nya lambat,positif
mantap,5,mantap,positif
"Pelayanan csnya parah sekali jdi tidak ada fungsi jga,respon cs lma skali Kya sperti kekurangan karyawan,masalah transaksi tidak bisa membantu sma skali dari pihak apk lebih baik shopee ...",1,layan csnya parah fungsi jgarespon cs lma skali kya sperti kurang karyawanmasalah transaksi bantu sma skali apk shopee,negatif
si cepat,5,si cepat,netral
"Saya pernah order barang bayar pakai virtual account, ditunggu malah riwayat transaksi hilang padahal sudah dibayar, bagaimana Tokopedia?",1,order barang bayar pakai virtual account tunggu riwayat transaksi hilang bayar tokopedia,positif
kenapa sekarang tidak bisa menghapus chat. aplikasi yang cukup ribet,1,hapus chat aplikasi ribet,negatif
sangat memuaskan,5,muas,positif
"tokped banyak toko yg nggak amanah, tolong diseleksi benar dan yg banyak dicomplain didelete saja dari tokped sehingga costumer tidak kecewa tks",1,tokped toko yg amanah tolong seleksi yg dicomplain didelete tokped costumer kecewa tks,positif
iklan menggangu sangat tidak wajar,1,iklan menggangu wajar,netral
"Aplikasi tokopedia stelah di update rwayat belnja hilang semua...semakin mengecewakan...coba tolong aplikasi ya dikembalikan ke awal...sy pembayaran PLN, PDAM dll. no rekening ya pd hilang...",1,aplikasi tokopedia stelah update rwayat belnja hilang semuasemakin mengecewakancoba tolong aplikasi ya kembali awalsy bayar pln pdam dll no rekening ya pd hilang,netral
diskon sering error,4,diskon error,netral
"aplikasi aneh, chat dihapus, riwayat belanja dihapus, semuanya dihapus. promo gk ada, gratis ongkir gak bisa pilih ekspedisi, admin mahal. Makin hari makin jelek, apalagi kalo jadi seller, diribetin doang bisanya.",1,aplikasi aneh chat hapus riwayat belanja hapus hapus promo gratis ongkir pilih ekspedisi admin mahal jelek kalo seller diribetin doang bisa,negatif
bagus,5,bagus,netral
"Terus terang kita tidak bisa aplod barang, Kalo harus nulis 500 huruf. Kalo produk baru yang stok nya byk, okelah. Tapi kalo brg bks yg stok nya cm satu2, ya gak masuk akal, itu tidak relevan. Mohon ADM meninjau kembali lah. Seller mana bisa masuk kalo begini terus.",2,terang aplod barang kalo nulis huruf kalo produk stok nya byk oke kalo brg bks yg stok nya cm ya masuk akal relevan mohon adm tinjau seller masuk kalo,negatif
"aplikasi korup banyak bug dan eror.banyak trouble saldo Tokopedia ditarik ke bank gak bisa masuk tapi saldo Tokopedia berkurang uangnya gak masuk di bank karena masalah verifikasi (nomer lama mati) mau ganti nomer aja repot harus foto KTP dan ini itu hasilnya sama saja gak bisa, udah hubungi cs tapi cs nya cuma ai gak ada solusi.SAMPAH",1,aplikasi korup bug erorbanyak trouble saldo tokopedia tarik bank masuk saldo tokopedia kurang uang masuk bank verifikasi nomer mati ganti nomer aja repot foto ktp hasil hubung cs cs nya ai solusisampah,netral
mantap,5,mantap,positif
"Kenapa Mesti Tokopedia X Tiktok sih ? Kenapa pasang produk harus ke Aplikasi baru itu sedangkan menghubungkan akun tidak bisa, RIBET, dan setelah digabungkan malah jadi TOKO BARU dan Toko Lama dengan Ulasan ratusan malah HILANG",1,mesti tokopedia x tiktok sih pasang produk aplikasi hubung akun ribet gabung toko toko ulas ratus hilang,negatif
bagus aplikasi Tokopedia ini,5,bagus aplikasi tokopedia,negatif
senang sekali mengunakan apk ini,5,senang mengunakan apk,netral
mantap,5,mantap,positif
lumayan enak dipake,4,lumayan enak dipake,netral
"tolong dong pake chat live customer service masa mau mengajukan keluhan harus bot yg bls, gimana mau terselesaikan, pdhl udh brp kali saya co estimasi sampe abis tpi paket blm di pickup, chat ke toko alesan Mulu tokonya, bagusan shopee klo melewati estimasi dpt cashback atau uang kembali otomatis ketika melewati estimasi, di tokped harus nunggu blsan toko baru di kembalikan uang saya, itupun klo toko bls, pokoknya kurang bngt customer service tokped",1,tolong pake chat live customer service aju keluh bot yg bls gimana selesai pdhl brp kali co estimasi sampe abis tpi paket blm pickup chat toko alesan mulu toko bagus shopee lewat estimasi dpt cashback uang otomatis lewat estimasi tokped nunggu blsan toko kembali uang itu toko bls pokok bngt customer service tokped,positif
salah satu toko online terbaik di indonesia,5,salah toko online baik indonesia,negatif
"gratis ongkir voucer"" dan cod, semoga lossss .....",5,gratis ongkir voucer cod moga lossss,positif
kereeennn gercep,4,kereeennn gercep,netral
cs nya sejauh ini yg paling komunikatif dibanding platform yg satunya..,5,cs nya yg komunikatif banding platform yg satu,netral
"semenjak bergabung dengan tiktok, semua jadi ruwet kacau gak jelas dan ribet. kenapa mesti bergabung, gak misah aja, semenjak itu pula saya sebagai pembeli udah pindah ke platform lain seperti sh**PE, dan sebagai penjual di tokped, saya merasakan perbedaan jumlah pembeli yg menurun dan juga semua JD serba membingungkan dan mengecewakan , tokped mungkin mau bangkrut kah ?",1,semenjak gabung tiktok ruwet kacau ribet mesti gabung misah aja semenjak beli pindah platform shpe jual tokped rasa beda beli yg turun serba bingung kecewa tokped bangkrut kah,negatif
"nyesel belanja di tokped...udah lama nunggu pesanan datang eh..malah alamat tidak ditemukan..padahal almt udah jelas,dan di situ udah ada lampiran no hp..ganti kurir nya jangan IDX",1,nyesel belanja tokpedudah nunggu pesan ehmalah alamat ditemukanpadahal almt jelasdan situ lampir no hpganti kurir nya idx,netral
mengapa saya mau beli pulsa di Tokopedia harus verifikasike ewallet/DANA terlebih dahulu....padahal tinggal masukin pin Dana aja gak ribet...kecewaaaaa,1,beli pulsa tokopedia verifikasike ewalletdana dahulupadahal tinggal masukin pin dana aja ribetkecewaaaaa,positif
tingkatkan kualitas n promo gratis ongkir kk,5,tingkat kualitas n promo gratis ongkir kakak,positif
buat aplikasi jgn terlalu ribet......ajuan pengembalian dana aja ribet kek kerbau masuk sungai......ribet minta ampun,1,aplikasi ribetajuan kembali dana aja ribet kek kerbau masuk sungairibet ampun,negatif
ini knp ya. gopaylatter saya tidak bisa di buka. cuma gambar putih aj. saya mau bayar cicilannya gimana ini,1,ya gopaylatter buka gambar putih aj bayar cicil gimana,netral
"kadang klo mau cek usah sampe mana barang nya, tiba"" udah sampe aja,",4,kadang cek sampe barang nya sampe aja,positif
mantap,5,mantap,positif
belanja di tokped suka tbtb pemesanan di batalkan sistem,3,belanja tokped suka tbtb mesan batal sistem,negatif
lumayan,5,lumayan,netral
aplikasi logout tiba-tiba dan pas di buka riwayat transaksi dan whitelist ilang smua,1,aplikasi logout tibatiba pas buka riwayat transaksi whitelist ilang smua,netral
ok,5,oke,positif
"kalo tokopedia masih bermitra dengan layanan pengiriman siCepat.. maka siap² rating tokopedia, ambruk soalnya sicepat ngirim barang kayak siput lagi mencret..",1,kalo tokopedia mitra layan kirim sicepat siap rating tokopedia ambruk sicepat ngirim barang kayak siput mencret,negatif
"super lemot,, selalu ada tulisan ""ada gangguan di rumah toped, silakan coba beberapa saat lagi"" 🤦🏻‍♂️",5,super lot tulis ganggu rumah toped sila coba,negatif
mantap banyak masalah nya,1,mantap nya,positif
sippp,5,sippp,netral
setelah saya update tidak bisa di buka aplikasi nya,1,update buka aplikasi nya,negatif
"baru kali ini melakukan transaksi d Tokopedia, pengiriman lama, penjual gak respon, pembatalan susah gak lagi lagi dah mendingan pake yg sebelah aj",1,kali transaksi d tokopedia kirim jual respon batal susah mending pake yg belah aj,positif
Tolong tambahkan fitur pencarian menggunakan gambar atau foto di aplikasi Tokopedia,2,tolong tambah fitur cari gambar foto aplikasi tokopedia,netral
Histori transaksi hilang. Mau beli barang lagi jadi lupa tokonya apa.,1,histori transaksi hilang beli barang lupa toko,positif
"beli token listrik lama banget, sampe ber jam jam. padahal sudah dibayar. tolong diperbaiki",1,beli token listrik banget sampe ber jam jam bayar tolong baik,positif
"ongkir besar, lama expedisi melebihi waktu yg di perkirakan padahal saya milih yg same day lama expedisi di perkirakan dari tanggal 13-15 sampai sekarang tanggal 16 masih belum sampai juga",1,ongkir expedisi lebih yg kira milih yg same day expedisi kira tanggal tanggal,negatif
toko pedia pembohong jangan di download guys,1,toko dia bohong download guys,negatif
"sudah 2 minggu,barang belum juga diterima,dari pihak kurir tidak ada kejelasan,admin tokopedia juga tidak ada solusi sampai saat ini.. sangat kecewa..",2,minggubarang diterimadari kurir kejelasanadmin tokopedia solusi kecewa,positif
"mantaappp, gratis ongkir, tepat waktu",5,mantaappp gratis ongkir,positif
bgus bgt,5,bgus bgt,netral
"makin jelek semenjak gabung tik tok , sebaiknya diperbaikin dari pada mirip si merah bangkrut , masa si ijo mau ikutan juga ?",2,jelek semenjak gabung tik tok diperbaikin si merah bangkrut si ijo ikut,negatif
"makin ga jelas, update terus tapi isinya bug ga selesai²",1,update isi bug selesai,netral
"kenapa history transaksi paling lama Oktober 2024? padahal sudah loyal menggunakan Tokopedia dari 2017, eh malah history transaksi yg lama² udah hilang",1,history transaksi oktober loyal tokopedia eh history transaksi yg lama hilang,positif
"pengajuan komplain DIPERSULIT, sering error, CS slowrespon!!!",1,aju komplain sulit error cs slowrespon,negatif
update trus tapi tetep lelet,1,update trus tetep lelet,netral
blom Mantap 👍🏻,3,blom mantap,positif
"Baru kali ini saya kecewa barng yg di komplen tidk sesuai dgn harapkan lagi, kalau toko sudah menyatakan stok pengganti kosong kenpa di kirim barang sama, tokopedia pas ti mengetahui percakapan toko dgn saya, ya sih tokopedia menyarankan untuk di retur lagi, tp percuma kalau barang yg retur masi sama seri nya, jd nya ga terpakai, saya ikhlasin aja dana di teruskan ke penjual, karena saya tidak butuh lagi barang tersebut",1,kali kecewa barng yg komplen tidk sesuai dgn harap toko stok ganti kosong kenpa kirim barang tokopedia pas ti cakap toko dgn ya sih tokopedia saran retur barang yg retur mas seri nya nya pakai ikhlasin aja dana terus jual butuh barang,positif
akun tiba tiba gak bisa login anehhh,1,akun login anehhh,netral
Semakin mantap sekarang pembeli bisa batalkan pesanan sepihak tanpa persetujuan seller😂👍,1,mantap beli batal pesan tuju seller,netral
"kepada pihak Tokopedia yg menyediakan layanan Sameday, Tolong di perbaiki lagi, jgn nyusahin Driver yg mau ambil Paket, Hari ini udh 2kali tercancel otomatis, padahal udh mau fto paket nya",1,tokopedia yg sedia layan sameday tolong baik nyusahin driver yg ambil paket kali tercancel otomatis fto paket nya,positif
makin kesini makin susah menu nya jadi rumit. class Gold gw hilang. dan tidak bisa mencantumkan alamat toko nya jadi sulit. dan chat pribadi tokok tidak ada kapan aktif nya.,4,kesini susah menu nya rumit class gold hilang cantum alamat toko nya sulit chat pribadi tokok aktif nya,positif
APLIKASI SARANGNYA TEMPAT PEDAGANG ROKOK ILEGALLL???? CEK DIRJEN BEACUKAI UP!! ETALASE JUALAN KALUNG TAPI YANG DIKIRIMKAN ROKOK ILEGAL! RUMIT PULA CS NYA KERJA CUMA UNDUR-UNDUR WAKTU PADAHAL BUKTI UNBOXING JELAS SEKALI. AMAZING!!!,1,aplikasi sarang dagang rokok ilegalll cek dirjen beacukai up etalase jual kalung kirim rokok ilegal rumit cs nya kerja undurundur bukti unboxing amazing,negatif
sekarang susah mending tokped yg dulu,2,susah mending tokped yg,negatif
Terimakasih Bayak Tokopedia,5,terimakasih bayak tokopedia,positif
"belanja di tokped enak,ga perlu keluar rmh, harga bersaing,kualitas sama bagus",5,belanja tokped enakga rumah harga bersaingkualitas bagus,positif
"TOKOPEDIA BEKERJASAMA DENGAN OKNUM KURIR YANG MEMBONGKAR BARANG, PENJUAL DIRUGIKAN",1,tokopedia bekerjasama oknum kurir bongkar barang jual rugi,negatif
mantap,5,mantap,positif
"Halo Tokopedia sepertinya saya menemukan bug pada aplikasi, dikupon bebas ongkir saya masih tersedia 6x kuota, tp saat checkout barang pada pilih pengiriman kenapa Kouta bebas ongkir saya habis?. Ini bagaimana ya? Terimakasih.",1,halo tokopedia temu bug aplikasi kupon bebas ongkir sedia x kuota checkout barang pilih kirim kouta bebas ongkir habis ya terimakasih,positif
mantap,5,mantap,positif
bagus banget sekarang banyak diskon dan aman kayak di apk sebelah,5,bagus banget diskon aman kayak apk belah,netral
lama sekali pengiriman toko lambat respon,1,kirim toko lambat respon,positif
pembelian selalu pas dengan barang/spek trima kasih..👌,5,beli pas barangspek trima kasih,positif
Dapat memberikan kemudahan,5,mudah,netral
nyaman dan lengkap dan juga barang sesuai no gimmick,5,nyaman lengkap barang sesuai no gimmick,positif
👍👍👍👍👍,4,,netral
"Bagus kok, saya lebih percaya Toped dibanding yang lain",5,bagus percaya toped banding,positif
"pelayanan tokopedia sekarang jelek banget juga dg mitra2 olshopnya...ngechat ke penjualnya sekarang lbh sering gak direspon/gak dibalas, pengembalian duit krn kesalahan pihak penjual yg kirim barang asal2an juga lama banget prosesnya, sori gue uninstall dan gue kasih 1 bintang aja krn udh 3x kecewa beli barang di tiktok, sebulan ini....",1,layan tokopedia jelek banget dg mitra olshopnyangechat jual lbh direspongak balas kembali duit krn salah jual yg kirim barang asal banget proses sori uninstall kasih bintang aja krn x kecewa beli barang tiktok bulan,positif
sejauh ini sangat cukup memuaskan,5,muas,positif
"Secara UI emang lebih nyaman dimata dibanding si oyen, tp belakangan mulai suka oyen krn ternyata selisih harganya lumayan. ditoko yg sama bisa beda 10-15 %",2,ui emang nyaman mata banding si oyen suka oyen krn selisih harga lumayan toko yg beda,negatif
good,5,good,positif
parah lah. ada penipu di aplikasinya di biarkan saja. dan saat pelanggan ingin melaporkan penipuan. yg di suguhkan malah IA apa tokped ini sudah ga punya karyawan kali ya. pengembalian dana aja ga balik²,1,parah tipu aplikasi biar langgan lapor tipu yg suguh tokped karyawan kali ya kembali dana aja balik,positif
"Gak bisa tutup akun, selalu diarahkan verifikasi lewat WA. padahal ada pilihan lewat email, mau dipilih langsung diarahkan lewat WA. nomor WA sudah tidak aktif",1,tutup akun arah verifikasi wa pilih email pilih langsung arah wa nomor wa aktif,negatif
aplikasi penjilat,1,aplikasi jilat,negatif
"kenapa proses saldo penjualan sekarang semakin lama proses nya hampir 1 Minggu,dulu pembeli accept, saldo penjualan langsung masuk,semenjak masuk ke seller tokpedtiktok semakin kacau pelayanan nya,padahal sudah di potong cukup banyak dari penjualan, tapi pelayanan nya makin lambat bahkan cenderung payah. Semoga kritikan dapat di proses.",1,proses saldo jual proses nya minggudulu beli accept saldo jual langsung masuksemenjak masuk seller tokpedtiktok kacau layan nyapadahal potong jual layan nya lambat cenderung payah moga kritik proses,positif
mantap,4,mantap,positif
cocok,5,cocok,netral
i like,5,i like,netral
barang/produk murah terjangkau dan banyak pilihan .,5,barangproduk murah jangkau pilih,negatif
kecewa akhir-akhir ini saya menajuakan komplain dan barang udh di terima seler lagi tpi uang blm jg kembali di suruh nunggu 14-30 hari udh nunggu sampe segitu eh blm ada kepastian lagi parah,2,kecewa akhirakhir menajuakan komplain barang terima seler tpi uang blm suruh nunggu nunggu sampe segitu eh blm pasti parah,positif
ongkir mahal masak barangnya harga 35rb bisa jadi 42rb,1,ongkir mahal masak barang harga rb rb,positif
jelek butut.. jarang ada voucher gratis ongkir padahal gw sering belanja di tokopedia.. parah banget,1,jelek butut jarang voucher gratis ongkir belanja tokopedia parah banget,netral
"pesan dari tgl 13 Juni sampe skrg masih diproses, cht ke penjual GK ada balasan,",1,pesan tanggal juni sampe skrg proses cht jual balas,positif
sangat membantu dan praktis,5,bantu praktis,positif
sangat bagus,5,bagus,netral
awesome,5,awesome,netral
"katanya kalau disinkronkan ke tiktok video juga bisa muncul di tokopedia. nyatanya tidak ada, di tokopedia juga gk bisa upload video. payah.. pembohong ini.",1,sinkron tiktok video muncul tokopedia tokopedia upload video payah bohong,netral
"junk 👎👎👎 shopee lebih enak. pencairan tokped 6hari 🤣 dibawa kemana dulu tuh duit seller??? cancel order di shopee gampang duit di shopee mau cair gampaaang, tokped? setengah mati harus chat CS 100X padahal duit² kita",1,junk shopee enak cair tokped bawa mana tuh duit seller cancel order shopee gampang duit shopee cair gampaaang tokped mati chat cs x duit,negatif
bad. gabisa lihat riwayat pemesanan 2 tahun yang lalu-_- mohon di improve agar pembeli bisa membeli ulang di toko yang sama. tq,3,bad gabisa lihat riwayat mesan lalu mohon improve beli beli ulang toko terima kasih,positif
"ongkir mahal , mending Oren gratis ongkir, paylater bunga besar",1,ongkir mahal mending oren gratis ongkir paylater bunga,positif
mantap,5,mantap,positif
kagak ada voucher gratis ongkirnya,1,kagak voucher gratis ongkirnya,positif
fiturnya bagus pelayanan penjual ok dan produk nya lengkap sesuai dengan deskripsi produk semangat kak😍🥰,5,fiturnya bagus layan jual oke produk nya lengkap sesuai deskripsi produk semangat kak,positif
"AWAL KEHANCURAN TOKOPEDIA SAAT INTEGRASI DENGAN TIKTOK SELLER GAK JELAS ... DENGARKAN PARA PENGGUNA TOKPED BOS, ORANG JUALAN ITU INGIN FITUR SIMPLE, GAK RIBET, & CEPAT LAKU. BEGITU JUGA PEMBELI. APALAGI SEKARANG DANA OTOMATIS SAMPAI SEMINGGU TIDAK LAGI 2x24 Jam, PEMBELI YANG NAKAL SUDAH SEGAN KLIK RECEIVE BARANG WALAU SUDAH DITERIMA. IMPACT NYA PENGUSAHA ATAU PEDAGANG KECIL HANCUR SUDAH MODAL NYA. DENGARKAN PARA PENGGUNA YANG SEBELUMNYA SUDAH LAMA RINTIS VIA TOKOPEDIA. SEBELUM PD KABUR 💨💨💨",1,hancur tokopedia integrasi tiktok seller dengar guna tokped bos orang jual fitur simple ribet cepat laku beli dana otomatis minggu x jam beli nakal segan klik receive barang terima impact nya usaha dagang hancur modal nya dengar guna rintis via tokopedia pd kabur,positif
istimewa,5,istimewa,netral
oke terbaik,5,oke baik,positif
prosesnya tepat waktu,4,proses,positif
ok,5,oke,positif
"banyak Minusnya: 1.tampilan UI Tidak Nyaman 2.pengembalian barang KELUAR DUIT dulu 3. notif inbox sebagai seller tak bisa dibuka 4.cashback sedikit 5.CS cuma Bot buka Orang seperti Oren >> sepertinya mau bangkrut ini apk dan harusnya ratingnya bintang 1.0 bukan 4,6 Terimakasih",1,minus tampil ui nyaman kembali barang duit notif inbox seller buka cashback cs bot buka orang oren bangkrut apk ratingnya bintang terimakasih,negatif
semangatnya kawan kawan usaha jual belinya salam pejuang rupiah,5,semangat kawan kawan usaha jual beli salam juang rupiah,positif
good,5,good,positif
"sangat jelek uang refund tidak di kembali"" kan parahh",1,jelek uang refund parahh,negatif
tercepat yg,4,cepat yg,netral
top keren mudah bertransaksi,5,top keren mudah transaksi,positif
ribet,1,ribet,negatif
Halaman toko favorit error,1,halaman toko favorit error,negatif
Masih setia menggunakan Tokopedia untuk belanja online... Tolong perbaiki aplikasinya kadang ada bug...,5,setia tokopedia belanja online tolong baik aplikasi kadang bug,negatif
good,5,good,positif
entah kenapa tapi gua kasih 4 saja.,4,gua kasih,negatif
"tak akan berhasil cara cara berbisnis dengan pemaksaan begini. tinggal menunggu hadirnya platform baru yang bisa berbisnis dengan cara yg bersih tanpa tipu tipu, maka kalian segera ditinggalkan. kembalikan mitra Tokopedia dan batalkan pemaksaan mitra utk menggunakan tiktok..",1,hasil bisnis paksa tinggal tunggu hadir platform bisnis yg bersih tipu tipu tinggal kembali mitra tokopedia batal paksa mitra utk tiktok,netral
"semenjak pembayaran pakai gopay latter tidak bisa digunakan lagi, sekarang jadi males belanja disini, padahal limit kredit sudah dua digit(buat beli motor bisa). Entah kenapa sekarang tidak bisa digunakan lagi🥱",2,semenjak bayar pakai gopay latter males belanja limit kredit digitbuat beli motor,negatif
rak sah iklan trs rak payu yakin,1,rak sah iklan trs rak payu,positif
mantap,5,mantap,positif
parah ini toko pedia ...beli kuota 20rb gaada masuk! katanya di suruh nunggu 24 jam malah sama sekali nggak masuk! jangan pake aplikasi ini... penipuan!!! untung cuma 20rb... kapok ...mending di shopee,1,parah toko dia beli kuota rb gaada masuk suruh nunggu jam masuk pake aplikasi tipu untung rb kapok mending shopee,negatif
isinya gajelas,1,isi gajelas,netral
masa saya sudah transaksi dan sudah bayar. tiba tiba pesanan saya di batalkan oleh aplikasi ini. aneh,5,transaksi bayar pesan batal aplikasi aneh,negatif
